,user_name,screen_name,user_location,user_description,user_verified,date,text,hashtags,source
17,Crown of Thorns,Crownof47888285,"Anonymous Citizen, for now.","Say what I want, when I want and always enjoy the accompanying conversations. I have no agenda, no motive, enjoy people and unbiased truth. Will follow back.",False,2022-07-11 21:17:22+00:00,"@JesseKellyDC TRUTH
The DNC realizes 2024 is lost, so they'll sacrifice Joe and try again in 2028 with a new face, grooming them for a real run in 2032. That is how far Biden and the liberal left has failed at understanding what AMERICAN's want and need vs caring for the entire world before us",,Twitter Web App
18,🇺🇲✝️Ram_USA✝️🇺🇲,RamKou,"Dallas, TX","I stand for the flag 🇺🇲 & I kneel ONLY for the cross ✝️, #Christian, Patriot, Proud Texan, #Veteran, 1A & 2A, America 1st, Trump 2024, #MAGA, I follow back!",False,2022-07-11 21:17:22+00:00,"@Brutus_42BC @RepMTG No, but I know the Biden administration &amp; the Dems are currently supporting the Nazis in Ukraine... did you know that? https://t.co/OmomWbsh0m",,Twitter for Android
19,kira4990,kira4990,,,False,2022-07-11 21:17:22+00:00,"@nodnic2 @shneyele @apmassaro3 Sorry to interrupt your delirium, but does Biden exist in your fantasy world, who insists on NATO members not to send heavy tanks, planes and modern artillery? Biden even has to approve that the NS1 turbine is delivered https://t.co/Z4eOvwoXy7",,Twitter Web App
20,Just Be Honest! Can You?,R_guy58,"Hudson, OH","#MAGA I want my 12,000 followers back… Truth Social @arguy58",False,2022-07-11 21:17:21+00:00,Biden Heckled By His Own Anti-2A Invitee https://t.co/oQDXcHnozL via @YouTube,,Twitter Web App
21,Putin-chan 🇷🇺,PutinChan369,"Moscow, Russia 🇷🇺","Putin did nothing wrong😘
My preferred pronouns: Cheeki/Breeki/Babooshka
#NoLivesMatter✊",False,2022-07-11 21:17:21+00:00,"@ReviewsPossum I'm sorry, but i fail to see how they could have asked Biden voters that 16% of them would have voted differently.. seeing as they are mostly dead and all.",,Twitter Web App
22,zerohedge,zerohedge,,,False,2022-07-11 21:17:21+00:00,It's still not too late for Europe to hire Hunter Biden as Energy Tzar.,,TweetDeck
23,Game6MetsFan86♊️🇺🇦☮️,Susan28674359,"Scranton, PA","I love baseball. Diehard Mets fan since 1966. Love my rescue dog, Annie. Advocate for suicide awareness and prevention.",False,2022-07-11 21:17:21+00:00,"I am so fking sick and tired of whiny millenials bitching about Biden because he hasn't done enough about student debt. YOU CHOSE TO MAKE THE DEBT!Get 2 freaking jobs like I did to pay off mine. You better learn in this world you are not entitled to SH*T. You want it, work for it",,Twitter for Android
24,s.m.,sho_of_hands,,,False,2022-07-11 21:17:21+00:00,@SharpeLewis @NatashaBertrand Biden waived congressional approved sanctions this year allowing this to happen specifically Iran and Russia. So no not trump https://t.co/Ni582Fty8q,,Twitter for iPhone
25,G_Kraig,g_kraig,,"Catholic, pro-life, Knight of Columbus, and a strong supporter of our priests, deacons and all our clergy.  
#BabiesLivesMatter
Conservative=MAGA",False,2022-07-11 21:17:21+00:00,Priests for Life Library: Fr. Pavone: Biden is powerless to stop pro-life momentum https://t.co/4n7cCzYlvL,,Twitter for Android
26,Header0302,header0302,"Massachusetts, USA","Retired scientist (analytical chemistry), business development professional. Swing trader stocks and options. Evil conservative. Need to know pronouns? F/U",False,2022-07-11 21:17:20+00:00,Priests for Life Library: Fr. Pavone: Biden is powerless to stop pro-life momentum https://t.co/4n7cCzYlvL,,Twitter for Android
27,Union Republican,BuildingTrades_,,*  I'm the best because I was trained that way  *   Square Deal  *  e-Verify  *  🚫 Globalism  *  Made In America  *  #MAGA  *  #AmericaFirst  *,False,2022-07-11 21:17:20+00:00,"@DonaldWMelvin @TheLeoTerrell ...and Biden shut our drilling down, and what we do pump is exported because it's quality is too low for gasoline. Democrats are well aware of this. https://t.co/QIZULj9dAC",,Twitter for Android
28,🐝ianca,Baddie___bey,Eastside ,🍯🐝,False,2022-07-11 21:17:19+00:00,Hunter Biden living his best life,,Twitter for iPhone
29,Diego Dog (RIP) & Barbara,Khaja_1,"Maine, USA","I speak the truth about Donald Trump.  Sometimes with a bit of humor.
I have a Voice and a Vote!",False,2022-07-11 21:17:19+00:00,"@mmpadellan Between Trump’s word salad and his Polident not working, this makes Joe Biden sound like an Orator even when his stuttering kicks in.",,Twitter Web App
30,Derisive One 🏴,Erudition_lost,Zombie Land USA,"“The World is my country, all mankind are my brethren, and to do good is my religion.” ― Thomas Paine, Rights of Man.",False,2022-07-11 21:17:19+00:00,"@SpittinVenoms @mmpadellan No lies detected... But I believe Catch 23 is effect ... *shrugs* 
See:
""Trump humps the flag, I want to see Biden fuck it"" https://t.co/8Q91kKfsTl",,Twitter for Android
31,amb_303,AmB3o3,Colorado,Aspiring Scout and football analyst and host of the podcast #thefansection @thefansection1 I love the sport of football!,False,2022-07-11 21:17:18+00:00,Jill Biden calling people tacos lmao in a Hispanic community,,Twitter for iPhone
32,Subjective Unicorn,unicornthoughtz,,I swear therefore I'm in Twitmo.,False,2022-07-11 21:17:18+00:00,"Stop stocking Hunter Biden. He doesn’t want to date you, ya fucking creepazoid. https://t.co/pmu5tVqSNw",,Twitter for iPhone
33,Steve,SVH2,"FL, CO, USA ","Ex-California conservative. Love my family and my country.
   - Land hoarding Jag-
FB @realjameswoods and other awesome patriots",False,2022-07-11 21:17:18+00:00,"But Biden encourages protests of SCOTUS justices

Biden gun control speech interrupted by father of Parkland shooting victim

https://t.co/DcTbDPrOEr",,Twitter for Android
34,____,TERM31740965,,,False,2022-07-11 21:17:18+00:00,@ggreenwald Newsworthy as reflection of Biden character. It highlights  media bias. importantly shows the double standard for regular people who get turned down from entry level jobs for even no charge arrests for milder behavior while son of VP succeeds as terrible &amp; dysfunctional citizen,,Twitter for iPhone
35,TRASH PIT CITY,trash_pit_city,"Seattle, WA","WELCOME TO GRAND TRASH PIT CITY! HOME OF TRASH BUGS, I Have No Friends, and the Is It Worse Than... podcast!",False,2022-07-11 21:17:18+00:00,People. Please understand. This Hunter Biden tweet is designed to get you to reply so that I can report your BS account. I'm not trying to argue about anything with you. This is a trap for you to expose yourself. Please be smart enough not to reply. Trump lost btw,,Twitter for Android
36,Dennis J Stephan,Cillaron500,"Fort Worth, TX","U.S. Air Force Veteran - Captain, Conservative, Catholic Christian, Patriot, Pro-life, and proud NRA Life member….🇺🇸🇺🇸#MAGA🇺🇸🇺🇸, “The Menace”",False,2022-07-11 21:17:17+00:00,"@davenewworld_2 Okay then let’s talk about the Biden family corruption, the administrations lies, the fake Ukraine war to launder their money, and the intentional destruction of the country. If you want the truth out there, let’s have ALL the truth…",,Twitter for iPad
37,Andrea Natalie,WeMustFight8779,,"I'm not that mom that says ~Not my kid!~
If it's them, they will be held ACCOUNTABLE. If it's not, I'll go to bat for them. But Accountability is key.",False,2022-07-11 21:17:17+00:00,"@albertlandis3 I don't know if Biden does, but that's exactly what I think the rest of the evil bastards are doing. 
I really think he is either being drugged by his handlers to place all the blame on him for America collapsing or he's in a rapid decline cognitively.",,Twitter for Android
38,A good INDEPENDENT!,ScottMcNab9,"Colorado Springs, CO","Need to build my own wall to keep deplorables out......not bad 5 acres
We make benches!",False,2022-07-11 21:17:17+00:00,"I will  have to change my satellite carrier! Fox was complicit in helping the GQP traitors try to keep Biden from taking office.....stop enabling Fox or I will  leave Dish!....Fox is not news, they are a propaganda network for the party formerly known as Republicans!",,Twitter for Android
39,Daniel Joseph Victor 🇺🇸,Daniboy_CFC,Nigeria,💎🌟💎 iBlog - iDesign Website - iFreelance - iForex Trade - iWrite Articles - iYouTube - iEdit Videos - iBuildLandingPage 💎🌟💎,False,2022-07-11 21:17:17+00:00,Biden celebration of new gun law overshadowed by more mass shootings https://t.co/XW4cS78mS5,,WordPress.com
40,Red4Skins,Wasred4skins,MERICA,100% PATRIOT| #AmericaFirst🇺🇸| Visit the Red4Skins store link below⬇️,False,2022-07-11 21:17:16+00:00,@leegiez @Travel4Arkansas Ok keep pretending you didn’t hear Biden’s voice mail talking about the Biden families dirty business deals in China…,,Twitter for iPhone
41,Glűk Vanstone FBPE 🌍🌈,GlukVanstone,,"Author of HS33&D recovering depression and alcoholism. 

Born and Raised in SE London, traveled a bit, now back on the radar.
#KickingTheStigma",False,2022-07-11 21:17:16+00:00,"Oi Hunter Biden wanna spend some of that tax dodge on a good book?

https://t.co/J0lQYvz9UM
#benbvolliefde #heavyrain #DumpTrump #Mondayvibes #books #EURO2022 #mentalhealth",['benbvolliefde'],Twitter for Android
42,Telly Vision,sportoz99,,Hope you laugh or learn something.,False,2022-07-11 21:17:16+00:00,"#TheFive...""#Biden turned your #401K into a ""$179K""..
Since January 2022.  See what he does THIS Year..","['TheFive', 'Biden', '401K']",Twitter Web App
43,Ldizm,Ldizm1,,,False,2022-07-11 21:17:15+00:00,@JDCocchiarella Apparently it's alot of videos and pics showing a disturbing fascination with hunter biden,,Twitter for Android
44,Lowcountry Libertarian 🌴,lowcoliberty,,Ex-Californian dad and graphic designer living in South Carolina. VOTE WITH YOUR FEET. 👣 👣,False,2022-07-11 21:17:15+00:00,@JDCocchiarella Apparently it's alot of videos and pics showing a disturbing fascination with hunter biden,,Twitter for iPhone
45,ISFeed,ISFeedNews,,"ISFeed is a news media site that selects stories specifically for the Internet audience such as World news, Politics, and Humor.",False,2022-07-11 21:17:14+00:00,"Surrounded by Survivors of Gun Violence, Biden Calls for More Action https://t.co/9mJvAW5KOZ",,WordPress.com
46,May Brian,mabri1741,,,False,2022-07-11 21:17:14+00:00,"@kellwoohoo @davidhogg111 @manueloliver00 Hogg tweets about things being different, the first legislation in 30 years and then says  Biden is the status quo. 🤔",,Twitter Web App
47,Jake Bleiberg,JZBleiberg,"Dallas, TX",@AP reporter in Texas | jbleiberg@ap.org | What’s your story?,True,2022-07-11 21:17:13+00:00,"The Biden administration says the guidance doesn't reflect new policy, but merely reminds doctors and providers of their existing obligations under federal law, @ZekeJMiller reports. https://t.co/MfPZHdEXjT",,Twitter Web App
48,Dave 🌺🇺🇸🏴󠁧󠁢󠁥󠁮󠁧󠁿,RetiredMod,United States,Black pilled boomer who finds solace in watching Manchester United & The New York Yankees.,False,2022-07-11 21:17:13+00:00,"@Ariame13 @MissLolamia @julie_kelly2 That’s not what happens &amp; here we are with the walls closing in on Trump again, just like they have been since 2017, &amp; yet the most investigated POTUS in history has come up with nothing. Meanwhile, Joe Biden having a shower with his daughter, &amp; Twitter censor it. https://t.co/i10SX1oKVO",,Twitter for iPhone
49,Eric,EDubs7777,,#ULTRAMAGA #Army Off the Plantation| Truth Is Not Relative #sonsofliberty #Buckeye #2A/#1A,False,2022-07-11 21:17:13+00:00,"Biden is a petty, vindictive, small minded, powerless piece of detritus. And he's a typical liberal since he can't stand any criticism or challenge to his words and ideas. If he had any that is. https://t.co/6e59brpQuv",,Twitter Web App
50,Mere,Merendriad,,🇪🇹 / nyc / Views are my ownnnn,False,2022-07-11 21:17:13+00:00,"Uber compiled a list of high-ranking allies including 758 politicians &amp; 590 public officials. Manipulate the policies in its favour. The company used presidents including France’s Macron to smooth things out in new territories, oligarchs linked to Russia and the US's Joe Biden.",,Twitter Web App
51,Vince Ingala,IngalaVince,"Plainfield, IL",,False,2022-07-11 21:17:13+00:00,@laurenboebert @bennyjohnson Was Joe Biden doing drugs? You of all people do not want to play quilt by association.,,Twitter for iPad
52,Just Came Here to Chill,NiaLotus,,Lover of many forms of entertainment with a penchant for drama.,False,2022-07-11 21:17:12+00:00,"@ElieNYC If we expand the court, we could still end up with a republican majority right? Are we saying expand the court during Biden's term to add more democrats to the Supreme Court? https://t.co/QeOLrvSR1P",,Twitter for Android
53,•YOS•,blazingsadle,Directly underneath the moon,"If you have lost your reason and taken the wrong path. If you have taken lies for truth, and hideousness for beauty... I don't want to understand you.",False,2022-07-11 21:17:11+00:00,@RachelRGonzalez President Biden looking good 👍,,Twitter for iPhone
54,Tim Bober,bober_ti,,"I joined years ago, then cathartically tweeted at TFG, now I mostly just occasionally snark and block.  But I do love me the sad words of despondent trumpies.",False,2022-07-11 21:17:11+00:00,"@CarolynRude @drsimonegold Enjoy tomorrow’s hearing about preplanned violence at true Capitol! 

Imagine if Biden didn’t concede and wouldn’t peacefully transfer power. Now imagine you mad you would be. Now look in the mirror",,Twitter for iPhone
55,Marc Eliot Stein,asheresque,New York City,"I write about culture, philosophy, history, activism. Tech director @WorldBeyondWar. Lost Music podcast. LitKicks. The blogger formerly known as Levi Asher.",False,2022-07-11 21:17:11+00:00,"@DailyMusicBrk Okay, well, I started this thread and I’m not shocked that some people disagree. Here’s my last word: it doesn’t matter what I think. Voters know that Biden, Pelosi and Schumer are under Manchin and Sinema’s corrupt thumb. This team will not win future elections.",,Twitter for iPhone
56,Joe Hamburger🇩🇪,JoevonHamburg,,Lifelong Democrat. Vietnam Vet. Love All Animals. Despise All Republicans. Proud Atheist.,False,2022-07-11 21:17:10+00:00,@AZ_Brittney Yes I do. Shame on the democrats that don't support @POTUS. This is just what Republicans hope for. Not supporting Joe Biden will impact the November elections. We must fight for Joe just like the nazi party supports trump.,,Twitter for Android
57,Anarcho Motorist,AnarchoMotorist,,Cars and Crypto,False,2022-07-11 21:17:10+00:00,@TeeMarieMags @Grand_handsomer @bassinistic You really don’t know do you. James Biden Joes brother has been on the take for Joes entire career. Hunter flew on air force 2 to China with joe for meetings. Joe and Hunter share bank accounts.,,Twitter for iPhone
58,The Sun Nigeria,thesunnigeria,Nigeria,"This is the official Twitter account of The Sun Newspaper, one of the most read newspapers in Nigeria.
sunonlineteam@gmail.com",False,2022-07-11 21:17:10+00:00,"With Biden, Palestinians seeking freedom get permits instead - https://t.co/uIJUfCp9t8 https://t.co/Y5O6AOI4KU",,SunNews
59,Dearest Mother,RichardWMerino1,I dont know.,"hey my voice is..... coming out..... delayed.

discord: PUT YOUR GRASSES ON#2387

Be warned: I sometimes RT lewd stuff",False,2022-07-11 21:17:10+00:00,"@sewernugget joe biden when he speaks about this: ""he was clearly looking up whiskey aged 12 years on xvideos""",,Twitter Web App
60,DefaultCMC,DefaultCMC,Discord,"The Communist Media Collective is a server seeking to pull communists 
from all over the internet to make communism mainstream in the US. Patsoc and trans.",False,2022-07-11 21:17:09+00:00,"@Fr33Kingdom @AdamPHL @kingbullyo https://t.co/wj8nz2qCKu
https://t.co/v5XplYEVcy
Here's proof that @jacksonhinklle opposed voting blue no matter who in 2020.

@kingbullyo is such a liar for trying to frame it like Jax was telling people to vote for Biden just bc Jax had severe criticisms of Trump.",,Twitter for Android
61,joe Bennett,joeBenn01802369,,,False,2022-07-11 21:17:08+00:00,"@Lucian55636572 @arsenalgooooner @pinaykanu_m @dariusz2082 @puckinupop @TXMarineVeteran @TuckerCarlson Biden can't argue WITH INFLATION. It IS WHAT IT IS. Yeah I know, it's ACTUALLY conservatives like myself causing inflation. Yeah, ok.",,Twitter Web App
62,Greg Milner,GregIMilner,HNL--MSP--SFO--NYC--PDX,National Book Critics Circle Award-losing author of PINPOINT and PERFECTING SOUND FOREVER. The crowd's a rapacious beast.,False,2022-07-11 21:17:08+00:00,"@lldzne @whstancil I guess I wasn't clear. I don't need a civics lesson. I know how things work, I know what the administration can and can't do, and I understand the limits of messaging as a strategy. That said, it is important, and Biden et al have been terrible.",,Twitter for iPhone
63,ChrisRobichaud,ChrisRobichaud3,,"Professional Opinion Giver, Observer of All",False,2022-07-11 21:17:08+00:00,"@JackPosobiec Let me guess, this judge is a Biden voter ?",,Twitter Web App
64,Susan Axworthy,saxworthy,"Massachusetts, USA",❤️🧡💛💚💙💜,False,2022-07-11 21:17:08+00:00,"@PerezLangamez @Timcast Because trump jr STILL goes on line, acting crazy, ranting about conspiracy theories. Hunter Biden stays out of the limelight.",,Twitter for iPhone
65,Mary,berrymary66,"New Hampshire, USA","The secret to having it all, is knowing you already do…🌲",False,2022-07-11 21:17:07+00:00,"@Cernovich Why can’t the useless republicans get the Hunter Biden, Pedo Peter story and run with it? If this was the Trumps it would be everywhere and they would already be talking about impeachment!",,Twitter for iPhone
66,Captain Justice,JusticeCaptain,,"Independent.. Like to have fun, I don't follow for a reason so don't take it personally. I like to be social but if you Mess with the Bull you get the Horns...",False,2022-07-11 21:17:07+00:00,"Lol.. Ahh are Demo-rats having ""cheaters remorse"" over Lying Biden, Bimbo Ka-la-la &amp; Crackhead Hunter... #TheFive #msm #msnbc #cnn","['TheFive', 'msm', 'msnbc', 'cnn']",Twitter Web App
67,PA HAU,PAHAU6,New Hampshire By a Big Lake,"FreeRangeDixieChick
MortgageBanker
Auditor
PoliticalAnimal
SteelSailboatBuilder
Rock&Roll/LiveMusic
Bank$terWhistleblower
NHStateofCorruption
SturmRugerRules",False,2022-07-11 21:17:07+00:00,"Hunter Biden spent $30k on prostitutes within FIVE MONTHS, docs reveal https://t.co/eHDjJYzm4a via @MailOnline ARRESTS ARE IMMINENT!!! (of the prostitutes.)",,Twitter Web App
68,Bonchie,bonchieredstate,United States,"Writer for https://t.co/3iVsWhN9pj. Come for the hot takes, stay for the semi-decent retweets.",False,2022-07-11 21:17:07+00:00,@pattonoswalt Weird flex on Joe Biden.,,Twitter for iPhone
69,Jeff,Jeffex1111,Outside of THE MATRIX ,"RED WHITE BLUE CHECK
3rd twitter handle
telegram invite link https://t.co/sIJwkTmUii",False,2022-07-11 21:17:07+00:00,"@SimonPo81067374 it means there's no carpet to match the curtains of an pre=pubescents yellow haired  girl !!! 

It means that Hunter Biden is a pedophile raping with anonymity because democrats are evil and the MSM is evil cover up INC .",,Twitter Web App
70,Chris,chrstphr_woody,"Washington, DC",editor at business insider | https://t.co/bfCYGNzk0v,True,2022-07-11 21:17:06+00:00,"In the past week, Biden has nominated 2 ambassadors, both career foreign service officers, to 5 Indo-Pacific island countries: Henry V. Jardine to Mauritius and the Seychelles and Ann Marie Yastishock to Papua New Guinea, the Solomon Islands, and Vanuatu https://t.co/WqC54YBKnE",,TweetDeck
71,Kari Lake Parody 🇺🇦🏳️‍🌈🌊🌊🌻,KariLakeParody,"Arizona, USA","(Liberal) Parody account of Kari Lake- owning Republicans tweet by tweet

#Resist #BLM #ReprodutiveRightsAreHumanRights #AbolishTheNRA",False,2022-07-11 21:17:06+00:00,@ANTIQUE4UNIQUE @RepTroyNehls Oh you and your hypocrisy.  You complain about gas prices and blame Biden for them.,,Twitter Web App
72,zorc-philospher,zorczort,,"Philosophy, Author, Researcher, Computer-Scientist",False,2022-07-11 21:17:06+00:00,Anyone have a link to the nasa / Biden stream?,,Twitter for iPhone
73,NotAnElite,xbonesrider,,Cold War Vet.....I know things I probably shouldn't,False,2022-07-11 21:17:06+00:00,"EXCLUSIVE: Hunter Biden could face prostitution charges for transporting hookers across state lines and disguising checks to them as payments for 'medical services.' First Son spent $30k ...
via https://t.co/0fh5zi73Ue https://t.co/fVy5UEpd8a",,Twitter for iPhone
74,YOURMEDIA AGENCY,YourmediaAgency,weltweit,Twitter-Accound des Kolumnendienstes #YOURMEDIA AGENCY PRESS  Near East Middle East   #Syria  #Islam #Iraq #Daesh,False,2022-07-11 21:17:06+00:00,"Hunter Biden spent $30k on prostitutes within FIVE MONTHS, docs reveal https://t.co/lWHNuhDl3K via @MailOnline",,Twitter Web App
75,Washington Pundit ©,TWPundit,DC/NC/MS,"https://t.co/O8Q6EGH204 We Exposing the Swamp Shadowbanned by big tech, please read and share our articles. https://t.co/Dk2KPPCgeW",False,2022-07-11 21:17:06+00:00,Why is “Pedo Peter” Hunter’s nickname for Joe Biden?,,Twitter for iPhone
76,(((TheRReport))) 🌻,TheRReport,"New York, New York",Unapologetic progressive. #GlobalHeating. #Forests. #Water. #IncomeInequality. #HumanRights. Docs for English Lit. followed by Public Policy  #Resistance,False,2022-07-11 21:17:06+00:00,Biden calls again for US assault rifles ban: ‘We are living in a country awash in weapons of war’  https://t.co/mEUsfjYZhT,,Twitter Web App
77,$JayMazuma,JayCapodecina,Milky Way,The World Is Yours,False,2022-07-11 21:17:06+00:00,Hunter Biden #justblaze,['justblaze'],Twitter for iPhone
78,Jim Burke,NDFourHorsemen,,"TRUMP….for the Three-peat! , Husband, Dad, Irish Setter Owner, “God,Country,Notre Dame!”",False,2022-07-11 21:17:05+00:00,@mattgreenfield @stphnfwlr I don’t think they favor Biden.😳,,Twitter for iPad
79,Oscar the Veteran Submariner,MM1ssjeffhall,"Kingsport, TN","Submarine Veteran.  Father of two fantastic children, oldest has a pHd and youngest is a BSEE.
i only joined because Musk was buying this platform.",False,2022-07-11 21:17:05+00:00,"@ViviNMtl I dont think Russia is that strong.  That is why they keep up the threats of going nuclear.  We would not respond in kind unless it was on US territory and then i doubt Biden. France might, UK might.",,Twitter for Android
80,STU YEA GOTS🤌🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕🍕,Stu_Yea_Gots,"Philadelphia, PA",Parody Account. My doppelgänger is a garbage human!,False,2022-07-11 21:17:04+00:00,@stopbeingmorons @FunKelly @that_goth_bitch Neither one of us like Joe Biden.  I haven’t seen someone this off the mark on Twitter since Donald Trump!,,Twitter for iPhone
81,DuckGod,duckgod69420,,"views expressed herein are not my own and should not be ascribed to me or my employer in any respect. do not follow me. attorney, but not your attorney.",False,2022-07-11 21:17:04+00:00,@sharpkmcm @TWLadyGrey @IWWWallace @umichvoter None of this has impacted me. You may be right. Biden is doing great things. I haven’t noticed. I’m not going to trust a blog or a media source or a press release to tell me things are going well. I’m using my eyes and looking around me. Things are getting worse.,,Twitter for iPhone
82,acyour,acyour,,Husban Father American,False,2022-07-11 21:17:04+00:00,Viva Monday! Steve Bannon Trial NEXT WEEK! Hunter Biden... Lucas Gerhard... https://t.co/qXb1vyMZQe via @YouTube,,Twitter Web App
83,ً,zanderceo,♏︎ia ‎,,False,2022-07-11 21:17:04+00:00,"just watched the Hunter tapes , the Biden family has earned my undying support‼️ 
Carry on my wayward son",,Twitter for iPhone
